Region,Year,StatisticalArea,Section,LocationCode,LocationName,SpawnNumber,StartDate,EndDate,Longitude,Latitude,Length,Width,Method,Surface,Macrocystis,Understory
A27,1951,27,272,1311,Klaskish Inlt,1,1951-02-18,NA,-127.777778,50.238889,594,6,Surface,194.961156802236,NA,NA
A27,1951,27,272,1312,Klaskino Inlt,1,1951-03-24,NA,-127.795833,50.321667,1097,8,Surface,430.32868764283205,NA,NA
A27,1951,27,273,1318,Winter Hrbr,1,1951-03-19,NA,-128.020206,50.518014,731,5,Surface,141.13349734841998,NA,NA
A27,1951,27,273,1320,Leeson Hrbr,1,1951-03-19,NA,-128,50.533333,242,5,Surface,69.04088334105599,NA,NA
A27,1951,27,273,1320,Leeson Hrbr,2,1951-03-19,NA,-128,50.533333,548,5,Surface,52.296078049280005,NA,NA
A27,1951,27,273,1320,Leeson Hrbr,3,1951-03-19,NA,-128,50.533333,283,7,Surface,27.00691621888,NA,NA
A27,1951,27,273,1321,Hazard Pt,1,1951-03-19,NA,-128.029576,50.503681,1042,6,Surface,581.803787825288,NA,NA
A27,1951,27,273,1326,Quashtin Cr,1,1951-04-06,NA,-128.018889,50.51,411,5,Surface,79.35139180601999,NA,NA
A27,1951,27,273,1326,Quashtin Cr,2,1951-02-20,NA,-128.018889,50.51,274,5,Surface,52.900927870679986,NA,NA
A27,1951,27,273,1328,Browning Inlt,1,1951-03-19,NA,-128.071667,50.496111,1462,6,Surface,172.10730257839995,NA,NA
A27,1951,27,273,1330,Greenwood Pt,1,1951-02-20,NA,-128.026111,50.509722,366,9,Surface,154.31052714031202,NA,NA
A27,1952,27,273,1320,Leeson Hrbr,1,1952-03-08,NA,-128,50.533333,283,7,Surface,27.00691621888,NA,NA
A27,1952,27,273,1320,Leeson Hrbr,2,1952-03-21,NA,-128,50.533333,110,5,Surface,22.653438698879995,NA,NA
A27,1952,27,273,1320,Leeson Hrbr,3,1952-03-19,NA,-128,50.533333,73,5,Surface,6.966448353280001,NA,NA
A27,1952,27,273,1320,Leeson Hrbr,4,1952-04-02,NA,-128,50.533333,64,7,Surface,6.107571159040001,NA,NA
A27,1952,27,273,1320,Leeson Hrbr,5,1952-03-06,NA,-128,50.533333,804,5,Surface,293.16949064140806,NA,NA
A27,1952,27,273,1320,Leeson Hrbr,6,1952-03-22,NA,-128,50.533333,73,4,Surface,15.033645681983998,NA,NA
A27,1952,27,273,1321,Hazard Pt,1,1952-02-28,NA,-128.029576,50.503681,91,5,Surface,28.696500897245997,NA,NA
A27,1952,27,273,1326,Quashtin Cr,1,1952-03-10,NA,-128.018889,50.51,101,6,Surface,19.499977061819997,NA,NA
A27,1952,27,273,1330,Greenwood Pt,1,1952-02-26,NA,-128.026111,50.509722,274,5,Surface,65.244477707172,NA,NA
A27,1953,27,272,1311,Klaskish Inlt,1,1953-02-26,NA,-127.777778,50.238889,823,9,Surface,270.122949576162,NA,NA
A27,1953,27,273,1318,Winter Hrbr,1,1953-02-27,NA,-128.020206,50.518014,1627,13,Surface,556.18792126116,NA,NA
A27,1953,27,273,1318,Winter Hrbr,2,1953-03-06,NA,-128.020206,50.518014,1202,320,Surface,232.06903394364,NA,NA
A27,1953,27,273,1318,Winter Hrbr,3,1953-03-06,NA,-128.020206,50.518014,1293,18,Surface,442.0104377324401,NA,NA
A27,1953,27,273,1318,Winter Hrbr,4,1953-03-03,NA,-128.020206,50.518014,2641,5,Surface,509.89543980461997,NA,NA
A27,1953,27,273,1318,Winter Hrbr,5,1953-03-06,NA,-128.020206,50.518014,1709,37,Surface,584.2195190137201,NA,NA
A27,1953,27,273,1319,Forward Inlt,1,1953-03-06,NA,-128.033611,50.486944,1206,11,Surface,508.46583533119207,NA,NA
A27,1953,27,273,1319,Forward Inlt,2,1953-03-25,NA,-128.033611,50.486944,1206,11,Surface,508.46583533119207,NA,NA
A27,1953,27,273,1330,Greenwood Pt,1,1953-03-03,NA,-128.026111,50.509722,1609,23,Surface,678.3760605703881,NA,NA
A27,1953,27,274,1323,Apple Bay,1,1953-04-18,NA,-127.656111,50.604167,1112,13,Surface,178.9106806332,NA,NA
A27,1953,27,274,1325,Coal Hrbr (Stephens Bay),1,1953-04-18,NA,-127.578293,50.596065,928,12,Surface,149.3067550608,NA,NA
A27,1954,27,272,1311,Klaskish Inlt,1,1954-02-26,NA,-127.777778,50.238889,640,5,Surface,210.05915884416,NA,NA
A27,1954,27,272,1312,Klaskino Inlt,1,1954-03-01,NA,-127.795833,50.321667,823,6,Surface,233.04725061472797,NA,NA
A27,1954,27,273,1318,Winter Hrbr,1,1954-03-06,NA,-128.020206,50.518014,1609,9,Surface,310.64814943038,NA,NA
A27,1954,27,273,1318,Winter Hrbr,2,1954-03-15,NA,-128.020206,50.518014,1810,9,Surface,618.7462430748001,NA,NA
A27,1954,27,273,1318,Winter Hrbr,3,1954-03-22,NA,-128.020206,50.518014,2413,5,Surface,465.87568960565994,NA,NA
A27,1954,27,273,1318,Winter Hrbr,4,1954-03-31,NA,-128.020206,50.518014,923,7,Surface,315.5263990928401,NA,NA
A27,1954,27,273,1319,Forward Inlt,1,1954-03-25,NA,-128.033611,50.486944,1188,9,Surface,282.88481575226393,NA,NA
A27,1954,27,273,1326,Quashtin Cr,1,1954-03-25,NA,-128.018889,50.51,137,5,Surface,46.83327917196001,NA,NA
